,genus,date,cells_per_ml
392,MED-G09,20190709,3649.9115946640577
393,MED-G11,20190709,11083.108749722462
394,MED-G116,20190709,726.8644840022681
395,MED-G20,20190709,3593.15912331711
396,MED-G52,20190709,814.3778828818927
397,MED-G78,20190709,4462.131208333645
398,MED-G85,20190709,320.5418191968695
399,MGIIa-K1,20190709,940.3071785001962
400,MGIIa-L1,20190709,23526.381162065616
401,MGIIb-O2,20190709,1303.4930946876168
402,MGIIb-O3,20190709,432.15729665306884
403,MS024-2A,20190709,117522.45362535569
404,Mariniblastus,20190709,3424.777957496225
405,Marinisoma,20190709,1437.5830436979584
407,Nitrosopelagicus,20190709,240.0181432981041
408,Nitrosopumilus,20190709,3460.0394343279045
409,Nitrospinaceae,20190709,1061.8000933135952
410,OM182,20190709,13828.726850907173
411,Oceanihabitans,20190709,1273.9758481572446
412,Octadecabacter,20190709,6080.793930419561
413,Opitutaceae,20190709,490.893611375596
414,Pelagibacter,20190709,502032.9431318379
415,Pelagibacter_A,20190709,19587.03113400804
416,Pelagibacteraceae,20190709,460.8357897684585
417,Pirellulaceae,20190709,246.6223921456845
418,Planctomicrobium,20190709,98.71106694330273
419,Planctomycetaceae,20190709,212.42378566390968
420,Planktomarina,20190709,79776.44927617889
421,Polaribacter,20190709,24921.990701081733
422,Pontimonas,20190709,20243.3670673514
423,Porticoccus,20190709,6408.7874736413205
424,Poseidonia,20190709,6684.806572059001
425,Pseudohongiellaceae,20190709,3618.117006603276
426,Psychromonas,20190709,
427,Puniceispirillaceae,20190709,820.7903900760052
428,Puniceispirillum,20190709,33612.791814901684
429,Rubripirellula,20190709,1323.8474732560796
430,SAR86,20190709,481.1248927865603
431,SAR86A,20190709,85.47683619867743
432,SCGC-AAA076-P13,20190709,158725.72595361926
433,SCGC-AAA160-P02,20190709,33496.544356767925
434,SGZJ01,20190709,24375.96156377049
435,SHAN690,20190709,8856.839319110433
436,SHLJ01,20190709,2163.1684618818576
437,SP4260,20190709,620.1881907137707
438,SW10,20190709,9129.140310500401
439,SYDM01,20190709,5274.287247793462
440,Saprospiraceae,20190709,5941.879466591831
441,Sulfitobacter,20190709,1980.2320947177152
442,Sulfurimonas,20190709,
443,Synechococcus_C,20190709,3632.070958544377
444,Synechococcus_E,20190709,1099.0547674821228
445,TMED14,20190709,1792.042885959117
446,TMED170,20190709,1685.38863109597
447,TMED189,20190709,28885.195534903363
448,TMED25,20190709,892.6669001873953
449,TMED80,20190709,791.9108752646782
450,Tateyamaria,20190709,4626.871847309336
451,Thioglobaceae,20190709,719.5489190333238
452,Thioglobus,20190709,61812.1644933158
453,Thioglobus_A,20190709,4803.852086056094
454,UA16,20190709,22562.578613463837
455,UBA10066,20190709,1633.4624409308524
456,UBA10347,20190709,4495.735150121371
457,UBA10364,20190709,66243.38141269046
458,UBA1096,20190709,11.534222725773885
459,UBA11654,20190709,827.6943730478723
460,UBA12202,20190709,3676.264126829115
461,UBA1268,20190709,4013.1374773222633
462,UBA1494_A,20190709,2671.4731368005296
463,UBA1611,20190709,86.6968100473365
464,UBA1994,20190709,19710.912074765565
465,UBA1997,20190709,2361.9661026889025
466,UBA2040,20190709,5472.444797539822
467,UBA2970,20190709,143.67743780330343
468,UBA3031,20190709,9426.323423008413
469,UBA3537,20190709,3615.501933369358
470,UBA4421,20190709,11715.307893044372
471,UBA4441,20190709,5596.480837938631
472,UBA4465,20190709,9911.26745681723
473,UBA4466,20190709,6351.701753091485
474,UBA4479,20190709,2413.4182901886443
475,UBA4575,20190709,3049.358174771037
476,UBA4582,20190709,14022.97194205512
477,UBA4588,20190709,10409.513898127823
478,UBA5081,20190709,258.1446909454948
479,UBA5109,20190709,740.1558172222311
480,UBA5951,20190709,6138.865910196256
481,UBA6669,20190709,520.6099516886785
482,UBA6770,20190709,4682.264284781576
483,UBA6772,20190709,22957.855570158506
484,UBA7326,20190709,1204.9900095971698
485,UBA7428,20190709,30029.479892621504
486,UBA7434,20190709,20709.92503661988
487,UBA7446,20190709,9541.571043526701
488,UBA8337,20190709,2352.317083550473
489,UBA8649,20190709,2837.319474666281
490,UBA868,20190709,948.9859810832173
491,UBA8752,20190709,6910.478571805848
492,UBA9145,20190709,2559.360332955036
493,UBA9320,20190709,29968.32448947612
494,UBA952,20190709,27640.23817458483
495,UBA985,20190709,2764.9464443383904
496,UBA9926,20190709,29926.965547780048
497,Ulvibacter,20190709,6466.719145495377
498,Unclassified,20190709,359327.257863895
499,Verrucomicrobiales,20190709,280.89081056583444
500,Vibrio,20190709,964.9256243124513
501,Vicingaceae,20190709,5084.185704973244
502,Winogradskyella,20190709,10722.976924736722
503,Yoonia,20190709,1200.327560024663
